;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;FGVDADOS - 12/11/2023 11:11:56;;;;;
;;;;;;
LEGENDA;;;;;;
Série;Título;Código;Fonte;Unidade;Fator de escala;Base do No. índice
1;Energia Elétrica, Consumo Industrial Brasil(53778);53778;EPE;GWH;?;--
2;Energia Elétrica, Consumo Industrial Brasil(53778) (Variação Percentual em Relação ao Período Anterior);53778;;;;--
3;Energia Elétrica, Consumo Total Brasil(210873);210873;EPE;GWH;?;--
4;Energia Elétrica, Consumo Total Brasil(210873) (Variação Percentual em Relação ao Período Anterior);210873;;;;--
;;;;;;
08/1991;9728;5,72;18561;5,38;;
09/1991;9723;-0,05;18601;0,22;;
10/1991;9502;-2,27;18343;-1,39;;
11/1991;9481;-0,22;18742;2,18;;
12/1991;8841;-6,75;17917;-4,4;;
01/1992;8252;-6,66;17957;0,22;;
02/1992;8791;6,53;18042;0,47;;
03/1992;8848;0,65;18065;0,13;;
04/1992;8835;-0,15;17695;-2,05;;
05/1992;9096;2,95;18172;2,7;;
06/1992;9071;-0,27;17796;-2,07;;
07/1992;9204;1,47;18042;1,38;;
08/1992;9685;5,23;18633;3,28;;
09/1992;9435;-2,58;18363;-1,45;;
10/1992;9341;-1;18264;-0,54;;
11/1992;9358;0,18;18494;1,26;;
12/1992;8968;-4,17;17885;-3,29;;
01/1993;8738;-2,56;18457;3,2;;
02/1993;8803;0,74;17825;-3,42;;
03/1993;8979;2;18194;2,07;;
04/1993;9744;8,52;19562;7,52;;
05/1993;9402;-3,51;18740;-4,2;;
06/1993;9668;2,83;18832;0,49;;
07/1993;9684;0,17;18743;-0,47;;
08/1993;9937;2,61;19177;2,32;;
09/1993;9881;-0,56;19392;1,12;;
10/1993;9634;-2,5;19143;-1,28;;
11/1993;9676;0,44;19368;1,18;;
12/1993;9126;-5,68;18745;-3,22;;
01/1994;8971;-1,7;18916;0,91;;
02/1994;8897;-0,82;18628;-1,52;;
03/1994;9004;1,2;18577;-0,27;;
04/1994;9623;6,87;19600;5,51;;
05/1994;9156;-4,85;18694;-4,62;;
06/1994;9574;4,57;19313;3,31;;
07/1994;9363;-2,2;18697;-3,19;;
08/1994;9717;3,78;19121;2,27;;
09/1994;10156;4,52;20334;6,34;;
10/1994;9981;-1,72;20197;-0,67;;
11/1994;9707;-2,75;20006;-0,95;;
12/1994;9334;-3,84;19557;-2,24;;
01/1995;9320;-0,15;20259;3,59;;
02/1995;9574;2,73;20236;-0,11;;
03/1995;9781;2,16;20737;2,48;;
04/1995;10372;6,04;21249;2,47;;
05/1995;9814;-5,38;20515;-3,45;;
06/1995;10054;2,45;20589;0,36;;
07/1995;9992;-0,62;20631;0,2;;
08/1995;9717;-2,75;20410;-1,07;;
09/1995;10005;2,96;21410;4,9;;
10/1995;9410;-5,95;20536;-4,08;;
11/1995;9752;3,63;21293;3,69;;
12/1995;9441;-3,19;20815;-2,24;;
01/1996;8689;-7,97;19972;-4,05;;
02/1996;9177;5,62;20430;2,29;;
03/1996;9392;2,34;20624;0,95;;
04/1996;9444;0,55;20858;1,13;;
05/1996;9638;2,05;20698;-0,77;;
06/1996;9605;-0,34;20613;-0,41;;
07/1996;9391;-2,23;20082;-2,58;;
08/1996;10148;8,06;21196;5,55;;
09/1996;9858;-2,86;21145;-0,24;;
10/1996;9791;-0,68;21215;0,33;;
11/1996;9873;0,84;21337;0,58;;
12/1996;14111;42,93;31151;46;;
01/1997;9670;-31,47;22782;-26,87;;
02/1997;10370;7,24;22863;0,36;;
03/1997;10120;-2,41;22450;-1,81;;
04/1997;10305;1,83;22665;0,96;;
05/1997;10446;1,37;22840;0,77;;
06/1997;10186;-2,49;22397;-1,94;;
07/1997;10515;3,23;22671;1,22;;
08/1997;11009;4,7;23434;3,37;;
09/1997;10734;-2,5;23455;0,09;;
10/1997;10760;0,24;23808;1,51;;
11/1997;10970;1,95;24197;1,63;;
12/1997;10145;-7,52;23235;-3,98;;
01/1998;9913;-2,29;24288;4,53;;
02/1998;10221;3,11;23565;-2,98;;
03/1998;10008;-2,08;23482;-0,35;;
04/1998;10687;6,78;24465;4,19;;
05/1998;10571;-1,09;24034;-1,76;;
06/1998;10407;-1,55;23191;-3,51;;
07/1998;10597;1,83;23511;1,38;;
08/1998;10934;3,18;24293;3,33;;
09/1998;10669;-2,42;24426;0,55;;
10/1998;10605;-0,6;24363;-0,26;;
11/1998;10474;-1,24;24189;-0,71;;
12/1998;9878;-5,69;23708;-1,99;;
01/1999;9277;-6,08;23921;0,9;;
02/1999;9480;2,19;23409;-2,14;;
03/1999;9836;3,76;23889;2,05;;
04/1999;10668;8,46;25403;6,34;;
05/1999;10344;-3,04;24011;-5,48;;
06/1999;10456;1,08;24110;0,41;;
07/1999;10472;0,15;24032;-0,32;;
08/1999;10813;3,26;24499;1,94;;
09/1999;10750;-0,58;24886;1,58;;
10/1999;10742;-0,07;24705;-0,73;;
11/1999;10864;1,14;24958;1,02;;
12/1999;10679;-1,7;24856;-0,41;;
01/2000;10024;-6,13;25060;0,82;;
02/2000;10388;3,63;25057;-0,01;;
03/2000;10769;3,67;25662;2,41;;
04/2000;10942;1,61;25598;-0,25;;
05/2000;10882;-0,55;25448;-0,59;;
06/2000;11216;3,07;25445;-0,01;;
07/2000;11049;-1,49;25287;-0,62;;
